"nome_anterior"	"nome_atual"
"administrativo-acao-popular-improbidade-lesao-ao-patrimonio-publ"	"administrativo-acao-popular-improbidade-lesao-ao-p-0ac76aa6"
"administrativo-defesa-em-processo-administrativo-disciplinar-pad"	"administrativo-defesa-em-processo-administrativo-d-324bc295"
"administrativo-recurso-contra-penalidade-em-contrato-administrat"	"administrativo-recurso-contra-penalidade-em-contra-dabae1d7"
"aeronautico-acao-contra-companhia-aerea-por-escala-perdida-conex"	"aeronautico-acao-contra-companhia-aerea-por-escala-14a63526"
"aeronautico-acao-de-cobranca-de-milhas-e-pontos-cancelamento-exp"	"aeronautico-acao-de-cobranca-de-milhas-e-pontos-ca-573da898"
"aeronautico-acao-de-indenizacao-por-acidente-aereo-vitimas-e-fam"	"aeronautico-acao-de-indenizacao-por-acidente-aereo-2bd4e0b8"
"aeronautico-acao-de-reembolso-de-passagem-recusa-indevida-de-ree"	"aeronautico-acao-de-reembolso-de-passagem-recusa-i-44c4f2d4"
"aeronautico-habeas-data-contra-companhia-aerea-dados-de-passagei"	"aeronautico-habeas-data-contra-companhia-aerea-dad-8bcd0ccd"
"ambiental-acao-de-indenizacao-por-dano-ambiental-individual-vizi"	"ambiental-acao-de-indenizacao-por-dano-ambiental-i-401cbc0a"
"ambiental-licenca-de-operacao-corretiva-e-regularizacao-ambienta"	"ambiental-licenca-de-operacao-corretiva-e-regulari-eb61aa46"
"ambiental-recurso-administrativo-contra-auto-de-infracao-do-ibam"	"ambiental-recurso-administrativo-contra-auto-de-in-7ee25742"
"bancario-acao-contra-banco-por-fraude-em-conta-transferencia-nao"	"bancario-acao-contra-banco-por-fraude-em-conta-tra-df694da1"
"bancario-acao-de-indenizacao-por-abertura-indevida-de-conta-cont"	"bancario-acao-de-indenizacao-por-abertura-indevida-1df86da5"
"bancario-acao-de-indenizacao-por-inscricao-indevida-no-scr-banco"	"bancario-acao-de-indenizacao-por-inscricao-indevid-946f823e"
"bancario-acao-de-revisao-de-contrato-de-credito-imobiliario-fgts"	"bancario-acao-de-revisao-de-contrato-de-credito-im-2c1c02d0"
"bancario-indenizacao-por-inscricao-indevida-em-cadastros-de-inad"	"bancario-indenizacao-por-inscricao-indevida-em-cad-103f3adb"
"consumidor-arrependimento-em-compra-online-e-fora-do-estabelecim"	"consumidor-arrependimento-em-compra-online-e-fora-370c781a"
"consumidor-mandado-de-seguranca-para-tratamento-de-saude-plano-o"	"consumidor-mandado-de-seguranca-para-tratamento-de-74176d53"
"consumidor-negativacao-indevida-em-cadastros-de-protecao-ao-cred"	"consumidor-negativacao-indevida-em-cadastros-de-pr-4b083958"
"consumidor-recall-de-produto-e-responsabilidade-pelo-fato-do-pro"	"consumidor-recall-de-produto-e-responsabilidade-pe-b1a5d244"
"desportivo-acao-de-nulidade-de-transferencia-internacional-de-at"	"desportivo-acao-de-nulidade-de-transferencia-inter-dbb13e77"
"digital-acao-de-indenizacao-por-calunia-difamacao-em-redes-socia"	"digital-acao-de-indenizacao-por-calunia-difamacao-4f4e96f2"
"digital-medida-cautelar-de-suspensao-de-perfil-falso-impersonati"	"digital-medida-cautelar-de-suspensao-de-perfil-fal-dae1d73f"
"digital-notificacao-extrajudicial-por-violacao-de-direitos-autor"	"digital-notificacao-extrajudicial-por-violacao-de-be7e7b35"
"imobiliario-distrato-imobiliario-e-rescisao-de-promessa-de-compr"	"imobiliario-distrato-imobiliario-e-rescisao-de-pro-60c65b59"
"militar-defesa-em-processo-administrativo-disciplinar-guarda-mun"	"militar-defesa-em-processo-administrativo-discipli-8e7ee95b"
"militar-recurso-em-processo-administrativo-disciplinar-militar-p"	"militar-recurso-em-processo-administrativo-discipl-f669ca6a"
"militar-revisao-criminal-militar-revisao-de-sentenca-condenatori"	"militar-revisao-criminal-militar-revisao-de-senten-3eff862a"
"previdenciario-acao-de-concessao-de-aposentadoria-por-idade-rura"	"previdenciario-acao-de-concessao-de-aposentadoria-869163cf"
"previdenciario-acao-de-concessao-de-aposentadoria-por-idade-urba"	"previdenciario-acao-de-concessao-de-aposentadoria-7122d2a2"
"previdenciario-acao-de-revisao-por-reconhecimento-de-tempo-espec"	"previdenciario-acao-de-revisao-por-reconhecimento-5fb59b5e"
"previdenciario-parecer-previdenciario-analise-de-direitos-e-temp"	"previdenciario-parecer-previdenciario-analise-de-d-99ccfe02"
"previdenciario-recurso-ao-crps-recurso-administrativo-previdenci"	"previdenciario-recurso-ao-crps-recurso-administrat-868fb1ae"
"regulatorio-defesa-em-processo-administrativo-sancionador-da-ans"	"regulatorio-defesa-em-processo-administrativo-sanc-c0612dd5"
"regulatorio-pedido-de-habilitacao-ou-licenca-perante-agencia-reg"	"regulatorio-pedido-de-habilitacao-ou-licenca-peran-02ef8c81"
"saude-acao-contra-plano-de-saude-por-negativa-de-cobertura-doenc"	"saude-acao-contra-plano-de-saude-por-negativa-de-c-9a0e15ac"
"saude-mandado-de-seguranca-para-fornecimento-de-medicamento-pelo"	"saude-mandado-de-seguranca-para-fornecimento-de-me-fbda06ba"
"trabalhista-reconhecimento-de-vinculo-empregaticio-pj-pejotizaca"	"trabalhista-reconhecimento-de-vinculo-empregaticio-6b83789b"
"tributario-acao-declaratoria-de-inexistencia-de-relacao-juridico"	"tributario-acao-declaratoria-de-inexistencia-de-re-a498147d"
"tributario-pedido-de-parcelamento-e-adesao-a-programas-de-refina"	"tributario-pedido-de-parcelamento-e-adesao-a-progr-a68e6b1b"
"tributario-recurso-hierarquico-em-processo-administrativo-tribut"	"tributario-recurso-hierarquico-em-processo-adminis-06cb747c"
